,lat,lon,Elevation,co_ppb,no2_ppb,o3_ppb,pm10_ug/m3,pm25_ug/m3,so2_ppb,AQI-IN_IN-AQI,aqi_US-AQI,t_C,p_mb,dew_C,h_%,w_km/h,wd_
294,26.766433,80.927299,121.0,445,5,50,76,31,12,76,91,33,993,12,27,7,249
295,26.11442,85.39813,57.0,448,6,9,98,50,3,98,137,34,1000,10,22,7,263
296,26.1875,91.744194,65.0,655,1,9,353,343,16,471,393,32,1000,20,49,8,279
297,26.0881305,87.93840336,48.0,22,13,25,85,19,0,85,66,32,1001,19,45,2,228
298,25.560083,87.553265,36.0,2452,6,9,41,17,7,41,61,33,1002,19,42,2,258
299,25.265194,87.012947,55.0,162,4,25,108,74,4,148,161,32,1000,20,48,0,360
300,25.366336,87.117468,40.0,0,1,7,120,18,3,113,83,32,1002,17,39,3,264
301,25.6635413,94.0989878,1499.0,367,1,12,106,58,10,104,152,22,852,13,56,0,360
302,27.103358,93.679645,166.0,297,1,1,93,45,1,93,124,30,990,18,50,3,33
303,26.146529,87.454184,56.0,389,4,4,86,22,4,86,72,33,1000,17,38,5,238
304,25.251013,86.989001,53.0,1070,32,25,154,65,5,136,156,32,1000,20,48,0,360
305,25.892357,86.590325,49.0,622,3,21,63,25,5,63,78,33,1001,15,33,4,258
306,25.376776,86.471523,50.0,716,4,13,115,57,3,110,152,34,1001,13,29,5,275
307,23.8628276,91.2887362,41.0,515,6,15,133,46,9,122,127,33,1002,22,52,6,302
308,22.08815,82.13737,276.0,0,8,2,32,18,3,32,63,30,977,18,48,6,207
309,25.7808257,84.7446768,58.0,1378,13,0,100,61,1,103,154,34,1000,9,21,8,272
310,24.792403,84.992416,114.0,380,13,2,53,19,1,53,66,34,993,13,28,11,293
311,23.041137,72.456691,48.0,641,8,12,99,66,1,121,156,36,1000,12,23,17,190
312,28.6245479,77.3577104,202.0,1298,6,24,138,49,6,125,134,37,984,18,31,5,244
313,24.2613009,80.7231783,521.0,1319,5,9,60,25,5,60,78,33,949,12,27,12,180
314,25.5586,91.8985,1602.0,192,0,0,39,39,12,65,110,17,837,12,74,0,180
315,10.942451,76.978996,393.0,463,1,5,45,22,5,45,72,36,964,17,32,12,88
316,25.4547,78.6039,232.0,166,2,20,202,144,4,319,197,34,981,16,34,8,155
317,25.5626095,84.663264,65.0,111,3,8,103,28,6,102,84,36,999,8,17,7,279
318,25.357288,84.107844,77.0,506,4,30,83,20,6,83,68,36,998,8,18,7,260
319,30.719859,76.738637,325.0,719,6,37,75,18,4,75,63,35,970,3,13,10,303
320,27.106972,78.000111,166.0,175,1,7,34,25,2,41,78,36,987,7,17,4,211
321,21.185571,81.343175,304.0,1383,9,17,26,26,6,43,80,29,974,19,54,159,241
322,17.544899,78.486949,591.0,229,4,25,44,28,1,46,84,33,943,18,40,12,131
323,13.218341,80.32027,9.0,1514,4,14,48,25,5,48,78,32,1009,26,69,15,91
324,13.34194444,74.74694444,22.0,789,37,22,535,318,3,532,431,30,1006,24,71,17,298
325,17.470431,78.566959,559.0,555,4,33,118,37,3,112,105,33,946,18,40,12,129
326,9.36399,78.831977,9.0,35,15,7,80,12,2,80,63,31,1008,25,68,16,66
327,12.746998,77.813811,868.0,312,32,19,63,34,3,63,97,31,913,13,34,23,119
328,17.393559,78.339194,532.0,343,36,6,77,45,2,77,124,33,949,17,37,10,129
329,10.358535,77.984321,293.0,326,20,2,39,18,6,39,63,31,975,22,61,15,112
330,17.585705,78.126199,533.0,408,11,25,113,54,1,109,147,31,949,17,43,9,144
331,8.816428,78.099039,14.0,125,10,16,18,20,3,33,68,31,1007,25,68,13,83
332,14.7918,75.3896,576.0,646,12,10,74,38,4,74,107,34,943,20,43,9,260
333,14.675886,77.593027,360.0,585,0,14,48,21,1,48,70,37,966,15,28,7,96
334,11.4068288,76.7138973,2228.0,306,3,2,36,19,4,36,66,18,781,14,79,10,116
335,17.429398,78.569354,501.0,448,5,29,112,38,3,108,107,33,952,18,40,12,127
336,23.8175497,91.2726974,29.0,515,6,15,133,46,9,122,127,33,1003,22,52,6,302
337,28.359581,79.414455,178.0,118,0,6,23,2,7,23,21,35,986,10,21,2,276
338,25.859655,85.77944,53.0,170,2,4,52,25,1,52,78,35,1000,13,26,5,260
339,28.2348927,77.8683002,200.0,428,1,19,67,42,19,70,117,36,983,7,16,3,265
340,28.802625,78.753728,191.0,360,19,22,60,22,3,60,72,35,984,4,14,6,274
341,27.1594,78.3953,167.0,410,6,28,42,34,11,57,97,36,987,8,17,3,174
342,28.849399,78.742362,195.0,472,2,28,55,20,11,55,68,36,984,4,13,7,279
343,30.943887,76.801991,436.0,424,6,74,91,17,6,91,112,34,958,3,14,12,291
344,17.37206,78.50864,503.0,38,5,15,102,45,2,102,124,33,952,20,47,13,129
345,25.5803419,91.8942571,1430.0,193,0,0,39,39,12,65,110,17,856,12,74,0,180
346,24.7524239,93.9286218,778.0,236,4,24,37,37,27,61,105,28,923,12,37,7,270
347,24.8207389,93.9423085,783.0,122,3,0,43,13,31,43,53,28,922,12,37,7,259
348,28.964949,77.278761,225.0,921,10,46,74,22,5,74,72,35,981,3,13,3,315
349,11.0328,77.0349,406.0,474,1,4,64,33,6,64,95,36,962,17,32,19,90
350,17.528544,78.286195,539.0,515,4,13,93,27,3,93,82,32,949,17,40,11,137
351,28.840739,78.697531,195.0,218,7,60,50,12,2,60,67,35,984,4,13,6,279
352,17.417094,78.457437,528.0,410,6,19,70,35,3,70,99,33,950,20,47,13,129
353,25.444266,86.140169,44.0,661,4,11,95,46,3,95,127,35,1001,14,27,5,253
354,28.38910936,79.42963708,178.0,157,1,2,34,11,14,34,46,35,986,10,21,2,276
355,11.0973603,77.3228673,275.8732394366197,515,6,4,54,27,6,54,82,33,973,18,42,15,101
356,12.8956152,77.602547,275.8732394366197,358,14,32,46,39,3,65,110,32,909,16,38,15,102
357,12.9407365,77.6206651,275.8732394366197,243,36,12,61,32,1,61,93,33,910,13,30,17,106
358,12.981005,77.699421,275.8732394366197,350,7,26,55,26,3,55,80,34,911,18,38,15,102
359,27.310116,88.59682,275.8732394366197,216,1,50,30,13,3,50,53,19,872,16,81,1,175
360,34.16119,77.580574,275.8732394366197,126,1,79,4,1,0,79,129,5,672,-14,24,10,284
361,30.682323,74.742775,275.8732394366197,553,13,26,94,62,7,106,154,34,983,5,16,1,317
362,22.318556,87.3121,275.8732394366197,631,29,56,111,62,4,108,154,33,1002,18,42,8,182
363,12.8798038,77.5886786,275.8732394366197,291,12,31,51,39,3,65,110,32,907,16,38,4,102
364,30.716042,76.85199,275.8732394366197,284,25,28,107,46,12,104,127,35,966,2,12,11,297
365,13.0300674,77.5579104,275.8732394366197,343,36,23,88,63,3,109,155,33,908,14,32,4,108
366,12.9302431,77.6212516,275.8732394366197,332,41,13,63,30,1,63,89,33,909,13,30,17,102
367,22.882677,88.01869,275.8732394366197,1036,8,37,116,54,6,111,147,33,1005,18,40,7,215
368,28.890337,76.61798,275.8732394366197,776,32,32,139,52,5,126,142,35,981,3,13,5,154
369,12.938105,77.57025,275.8732394366197,7,36,8,89,40,2,89,112,33,908,14,32,17,106
370,13.019549,77.653277,275.8732394366197,353,31,27,78,38,3,78,107,34,909,18,38,15,106
371,12.9344706,77.6835063,275.8732394366197,352,9,18,46,22,2,46,72,34,912,18,38,15,102
372,30.177834,74.94754,275.8732394366197,237,13,36,102,82,7,174,165,36,982,3,12,4,109
373,12.970598,77.705916,275.8732394366197,348,36,25,81,37,3,81,105,34,910,18,38,15,102
374,12.9692193,77.6082786,275.8732394366197,173,40,11,86,33,2,86,95,33,909,14,32,15,106
375,12.9205038,77.6096936,275.8732394366197,331,32,21,64,40,2,67,112,33,910,13,30,17,102
376,27.31013,88.59687,275.8732394366197,216,1,50,30,13,3,50,53,19,872,16,81,1,175
377,28.423252,77.06722,275.8732394366197,777,36,29,185,135,1,312,192,36,980,4,13,1,95
378,29.547289,75.04942,275.8732394366197,1134,4,50,85,42,26,85,117,36,982,2,11,5,155
